[16:30:13] 📍 Loaded 754 district venues
[16:30:13] 🚀 DISTRICT SCRAPER STARTED
[16:30:14] ⚠ 1041689 → NO DEBUG
[16:30:14] ⚠ 1078001 → NO DEBUG
[16:30:14] ⚠ 1102134 → NO DEBUG
[16:30:14] ⚠ 1101219 → NO DEBUG
[16:30:14] ⚠ 1102067 → NO DEBUG
[16:30:14] ⚠ 1102168 → NO DEBUG
[16:30:14] ⚠ 1101452 → NO DEBUG
[16:30:14] ⚠ 20834 → NO DEBUG
[16:30:14] ⚠ 1102069 → NO DEBUG
[16:30:14] ⚠ 5172 → NO DEBUG
[16:30:14] ⚠ 1037501 → NO DEBUG
[16:30:14] ⚠ 1102236 → NO DEBUG
[16:30:14] ⚠ 1102281 → NO DEBUG
[16:30:14] ⚠ 4911 → NO DEBUG
[16:30:14] ⚠ 1102276 → NO DEBUG
[16:30:14] ⚠ 43628 → NO DEBUG
[16:30:14] ⚠ 1102258 → NO DEBUG
[16:30:14] ⚠ 1102078 → NO DEBUG
[16:30:14] ⚠ 1102275 → NO DEBUG
[16:30:14] ⚠ 1102124 → NO DEBUG
[16:30:14] ⚠ 1094757 → NO DEBUG
[16:30:14] ⚠ 1011900 → NO DEBUG
[16:30:14] ⚠ 14699 → NO DEBUG
[16:30:14] ⚠ 5100 → NO DEBUG
[16:30:14] ⚠ 1102104 → NO DEBUG
[16:30:14] ⚠ 27047 → NO DEBUG
[16:30:14] ⚠ 1014604 → NO DEBUG
[16:30:14] ⚠ 1020826 → NO DEBUG
[16:30:14] ⚠ 1095009 → NO DEBUG
[16:30:14] ⚠ 14697 → NO DEBUG
[16:30:14] ⚠ 1102135 → NO DEBUG
[16:30:14] ⚠ 4175 → NO DEBUG
[16:30:14] ⚠ 1101222 → NO DEBUG
[16:30:14] ⚠ 1092638 → NO DEBUG
[16:30:14] ⚠ 1102228 → NO DEBUG
[16:30:14] ⚠ 1102294 → NO DEBUG
[16:30:14] ⚠ 1052124 → NO DEBUG
[16:30:14] ⚠ 1027478 → NO DEBUG
[16:30:14] ⚠ 1094680 → NO DEBUG
[16:30:14] ⚠ 1054725 → NO DEBUG
[16:30:14] ⚠ 1088548 → NO DEBUG
[16:30:14] ⚠ 27908 → NO DEBUG
[16:30:14] ⚠ 1102239 → NO DEBUG
[16:30:14] ⚠ 1054741 → NO DEBUG
[16:30:14] ⚠ 1101523 → NO DEBUG
[16:30:14] ⚠ 1092639 → NO DEBUG
[16:30:14] ⚠ 1088547 → NO DEBUG
[16:30:14] ⚠ 1039949 → NO DEBUG
[16:30:14] ⚠ 13772 → NO DEBUG
[16:30:14] ⚠ 1102099 → NO DEBUG
[16:30:14] ⚠ 1102227 → NO DEBUG
[16:30:14] ⚠ 1102075 → NO DEBUG
[16:30:14] ⚠ 1101449 → NO DEBUG
[16:30:14] ⚠ 11272 → NO DEBUG
[16:30:14] ⚠ 1102107 → NO DEBUG
[16:30:14] ⚠ 1031592 → NO DEBUG
[16:30:14] ⚠ 16605 → NO DEBUG
[16:30:14] ⚠ 1102116 → NO DEBUG
[16:30:14] ⚠ 1102121 → NO DEBUG
[16:30:14] ⚠ 4918 → NO DEBUG
[16:30:14] ⚠ 1102133 → NO DEBUG
[16:30:14] ⚠ 1037507 → NO DEBUG
[16:30:14] ⚠ 1102108 → NO DEBUG
[16:30:14] ⚠ 6081 → NO DEBUG
[16:30:14] ⚠ 7686 → NO DEBUG
[16:30:14] ⚠ 1102122 → NO DEBUG
[16:30:14] ⚠ 1102126 → NO DEBUG
[16:30:14] ⚠ 3943 → NO DEBUG
[16:30:14] ⚠ 4184 → NO DEBUG
[16:30:14] ⚠ 1078025 → NO DEBUG
[16:30:14] ⚠ 29761 → NO DEBUG
[16:30:14] ⚠ 1101384 → NO DEBUG
[16:30:14] ⚠ 1042632 → NO DEBUG
[16:30:14] ⚠ 1042465 → NO DEBUG
[16:30:14] ⚠ 1037496 → NO DEBUG
[16:30:14] ⚠ 1049243 → NO DEBUG
[16:30:14] ⚠ 1044503 → NO DEBUG
[16:30:14] ⚠ 1037033 → NO DEBUG
[16:30:14] ⚠ 1041688 → NO DEBUG
[16:30:14] ⚠ 1051040 → NO DEBUG
[16:30:14] ⚠ 29998 → NO DEBUG
[16:30:14] ⚠ 1093265 → NO DEBUG
[16:30:14] ⚠ 1030389 → NO DEBUG
[16:30:14] ⚠ 50915 → NO DEBUG
[16:30:14] ⚠ 11264 → NO DEBUG
[16:30:14] ⚠ 1040891 → NO DEBUG
[16:30:14] ⚠ 1074151 → NO DEBUG
[16:30:14] ⚠ 7714 → NO DEBUG
[16:30:14] ⚠ 1031638 → NO DEBUG
[16:30:14] ⚠ 1039878 → NO DEBUG
[16:30:14] ⚠ 1065383 → NO DEBUG
[16:30:14] ⚠ 1094334 → NO DEBUG
[16:30:14] ⚠ 1039847 → NO DEBUG
[16:30:14] ⚠ 1060262 → NO DEBUG
[16:30:14] ⚠ 1041672 → NO DEBUG
[16:30:14] ⚠ 1031636 → NO DEBUG
[16:30:14] ⚠ 1039846 → NO DEBUG
[16:30:14] ⚠ 1009194 → NO DEBUG
[16:30:14] ⚠ 1037228 → NO DEBUG
[16:30:14] ⚠ 1024804 → NO DEBUG
[16:30:14] ⚠ 1076602 → NO DEBUG
[16:30:14] ⚠ 1047659 → NO DEBUG
[16:30:14] ⚠ 1041687 → NO DEBUG
[16:30:14] ⚠ 1039875 → NO DEBUG
[16:30:14] ⚠ 28206 → NO DEBUG
[16:30:14] ⚠ 1008705 → NO DEBUG
[16:30:14] ⚠ 4106 → NO DEBUG
[16:30:14] ⚠ 1096733 → NO DEBUG
[16:30:14] ⚠ 1039862 → NO DEBUG
[16:30:14] ⚠ 2855 → NO DEBUG
[16:30:14] ⚠ 1024343 → NO DEBUG
[16:30:14] ⚠ 1039860 → NO DEBUG
[16:30:14] ⚠ 9292 → NO DEBUG
[16:30:14] ⚠ 25805 → NO DEBUG
[16:30:14] ⚠ 1039864 → NO DEBUG
[16:30:14] ⚠ 1097120 → NO DEBUG
[16:30:14] ⚠ 1036959 → NO DEBUG
[16:30:14] ⚠ 1001773 → NO DEBUG
[16:30:14] ⚠ 7258 → NO DEBUG
[16:30:14] ⚠ 1039850 → NO DEBUG
[16:30:14] ⚠ 1040466 → NO DEBUG
[16:30:14] ⚠ 1089130 → NO DEBUG
[16:30:14] ⚠ 1039865 → NO DEBUG
[16:30:14] ⚠ 4097 → NO DEBUG
[16:30:14] ⚠ 25803 → NO DEBUG
[16:30:14] ⚠ 1041685 → NO DEBUG
[16:30:14] ⚠ 27151 → NO DEBUG
[16:30:14] ⚠ 36376 → NO DEBUG
[16:30:14] ⚠ 1098929 → NO DEBUG
[16:30:14] ⚠ 7543 → NO DEBUG
[16:30:14] ⚠ 1041244 → NO DEBUG
[16:30:14] ⚠ 1039849 → NO DEBUG
[16:30:14] ⚠ 1018795 → NO DEBUG
[16:30:14] ⚠ 13958 → NO DEBUG
[16:30:14] ⚠ 56048 → NO DEBUG
[16:30:14] ⚠ 9365 → NO DEBUG
[16:30:14] ⚠ 9242 → NO DEBUG
[16:30:14] ⚠ 4693 → NO DEBUG
[16:30:14] ⚠ 44361 → NO DEBUG
[16:30:14] ⚠ 1046654 → NO DEBUG
[16:30:14] ⚠ 1039851 → NO DEBUG
